394,Lamb: The Gospel According to...,Christopher Moore
395,The Prince,Niccolo Machiavelli
396,The Testaments,Margaret Atwell
397,Vampires Don't Wear Polka Dots,Various
398,Wool,Hugh Howey
399,The Wind Done Gone,Alice Randall
400,The Hunger Games,Suzanne Collins
401,The Westing Game,Ellen Raskin
402,Paradise,Toni Morrison
403,High Fidelity,Nick Hornby
404,Sonic the Hedgehog,Various
405,Friday Black,Nana Kwame Adjei-Brenyah
406,Under the Skin,Michel Faber
407,Guards! Guards!,Terry Pratchett
408,The Bear and the Nightingale,Katherine Arden
409,The Shadow of the Wind,Carlos Ruiz Zafon
410,Catching Fire,Suzanne Collins
411,Smoke Jumpers,Choose Your Own Adventure
412,A Death in the Family,James Agee
413,Encyclopedia Brown,Various
414,Llama Llama Red Pajama,Various
415,My Grandmother Asked Me To Tell You She's Sorry,Fredrik Backman
416,Orlando: A Biography,Virginia Woolf
417,Unaccustomed Earth,Jhumpa Lahiri
418,Fun Home,Alison Bechdel
419,Inferno,Dan Brown
420,Candide,Voltaire
421,The Vegetarian,Han Kang
422,An Unseen Attraction,KJ Charles
423,The Rise and Fall of the Dinosaurs,Steve Brusatte
425,Mockingjay,Suzanne Collins
426,The Hour of the Star,Clarice Lispector
427,Deacon King Kong,James McBride
1003,Arabian Nights,Husain Haddawy
428,Children of Blood and Bone,Tomi Adeyemi
429,Before I Fall,Lauren Oliver
430,Eggs,Jerry Spinelli
431,A Tree Grows In Brooklyn,Betty Smith
432,Harvey,Mary Chase
433,The Ballad of Songbirds and Snakes,Suzanne Collins
434,Roadside Picnic,Arkady and Boris Strugatsky
435,The Yiddish Policemen's Union,Michael Chabon
436,How Much of These Hills is Gold,C Pam Zhang
